VARIABLES= "Y","Cl"
0.0785 0.3291
0.2355 0.3438
0.3922 0.3591
0.5486 0.3742
0.7044 0.3889
0.8595 0.4033
1.0138 0.4173
1.1671 0.4310
1.3192 0.4444
1.4700 0.4575
1.6194 0.4705
1.7672 0.4831
1.9132 0.4956
2.0573 0.5079
2.1994 0.5199
2.3394 0.5317
2.4770 0.5433
2.6122 0.5547
2.7448 0.5657
2.8747 0.5765
3.0017 0.5870
3.1258 0.5971
3.2468 0.6069
3.3646 0.6163
3.4791 0.6252
3.5902 0.6337
3.6977 0.6416
3.8016 0.6488
3.9017 0.6553
3.9979 0.6610
4.0902 0.6657
4.1785 0.6692
4.2627 0.6713
4.3426 0.6717
4.4183 0.6700
4.4896 0.6658
4.5565 0.6584
4.6188 0.6473
4.6766 0.6316
4.7298 0.6106
4.7784 0.5836
4.8222 0.5502
4.8612 0.5101
4.8955 0.4634
4.9249 0.4107
4.9495 0.3525
4.9692 0.2897
4.9840 0.2234
4.9938 0.1552
4.9988 0.0902
